primary,id,Lit_title,page,authors_all_count,publication_type,publisher,abstract_structured,cst,csc,sjr,snip,Citation_count,Social_count,Mention_count,Capture_count,Usage_count,KW_hit_in_kw,KW_hit_in_title,KW_hit_in_abstract,KW_hit_in_all
,88,Identifying and summarizing systematic code changes via rule inference,1,0.0006,1,1,0,0.49,0.5932,0.1028,0.7468,0.0767,0.0213,0,0.0306,0.0015,0.0323,,4.0635,0
,96,A survey on software smells,1,0,1,1,0,0.2846,0.3718,0.0772,0.4316,0.0609,0.6596,0.0476,0.0793,0.0469,1,,4.0595,0
,94,Bayesian networks for evidence-based decision-making in software engineering,1,0,1,1,0,0.49,0.5932,0.1028,0.7468,0.0655,0,0,0.0543,0.002,0,,4.0546,0
,139,Mining Sequences of Developer Interactions in Visual Studio for Usage Smells,1,0,1,1,0,0.49,0.5932,0.1028,0.7468,0.0316,0.0213,0,0.0231,0.0223,0.0323,,4.0311,0
,105,Developer Micro Interaction Metrics for Software Defect Prediction,1,0.0009,1,1,0,0.49,0.5932,0.1028,0.7468,0.0519,0,0,0.0381,0.0001,0,,4.0238,0
,119,Measuring code quality to improve specification mining,1,0,1,1,0,0.49,0.5932,0.1028,0.7468,0.0429,0,0,0.0262,0.0028,0,,4.0047,0
,58,International Consensus Statement on Allergy and Rhinology: Allergic Rhinitis,1,0,1,1,0.5,0.1915,0.1846,0.1524,0.2039,0.149,0.2128,0.0476,0.3329,0.024,0.3226,,3.9987,0
,92,Community detection in networks: A multidisciplinary review,1,0,1,1,0,0.5445,0.5722,0.1268,0.4734,0.07,0,0,0.1424,0.0151,0,,3.9444,0
,133,A systematic review of requirements change management,1,0,1,1,0,0.3098,0.4436,0.0863,0.5401,0.0339,0.1064,0,0.1643,0.2573,0.1613,,3.9417,0
,128,A fuzzy classifier approach to estimating software quality,1,0,1,1,0,0.4914,0.6037,0.2274,0.5018,0.0384,0,0,0.04,0.0258,0,,3.9285,0
,66,Static analysis of android apps: A systematic literature review,1,0.0002,1,1,0,0.3098,0.4436,0.0863,0.5401,0.1309,0,0,0.2211,0.1561,0,,3.8881,0
,74,"Is software ""green""? Application development environments and energy efficiency in open source applications",1,0,1,1,0,0.3098,0.4436,0.0863,0.5401,0.0971,0.0426,0,0.1549,0.1391,0.0323,,3.8135,0
,50,Subjective evaluation of software evolvability using code smells: An empirical study,1,0,1,1,0,0.3424,0.4908,0.087,0.5136,0.2077,0.0213,0,0.1449,0.002,0.0323,,3.8097,0
1,53,Comparing and experimenting machine learning techniques for code smell detection,1,0,1,1,0,0.3424,0.4908,0.087,0.5136,0.1648,0,0.0476,0.1505,0.0056,0,,3.8023,0
,42,Evolution of software in automated production systems: Challenges and research directions,1,0,1,1,0,0.2846,0.3718,0.0772,0.4316,0.2664,0,0,0.2936,0.0446,0,,3.7698,0
,127,Data stream mining for predicting software build outcomes using source code metrics,1,0,1,1,0,0.3098,0.4436,0.0863,0.5401,0.0384,0,0,0.0625,0.111,0,,3.6869,0.0952
,57,On the ability of complexity metrics to predict fault-prone classes in object-oriented systems,1,0.0002,1,1,0,0.2846,0.3718,0.0772,0.4316,0.1535,0,0,0.0687,0.087,0,,3.6651,0.1905
,72,A survey on the use of topic models when mining software repositories,1,0,1,1,0,0.3424,0.4908,0.087,0.5136,0.0993,0,0,0.0962,0.0046,0,,3.6339,0
,73,Optical-fiber arrays for vapor sensing,1,0,1,1,0,0.4761,0.5486,0.195,0.2795,0.0993,0,0,0.0219,0.007,0,,3.6274,0
,130,Evolutionary trends of developer coordination: a network approach,1,0,1,1,0,0.3424,0.4908,0.087,0.5136,0.0361,0.1277,0,0.0244,0.0014,0.1935,,3.6234,0
,67,Studying just-in-time defect prediction using cross-project models,1,0,1,1,0,0.3424,0.4908,0.087,0.5136,0.1264,0,0,0.0394,0.0046,0,,3.6042,0
,78,Empirical evidence on the link between object-oriented measures and external quality attributes: A systematic literature review,1,0,1,1,0,0.3424,0.4908,0.087,0.5136,0.0903,0,0,0.0631,0.0038,0,,3.591,0
,85,How changes affect software entropy: An empirical study,1,0,1,1,0,0.3424,0.4908,0.087,0.5136,0.0813,0,0,0.0425,0.0064,0,,3.564,0
,123,Fault-prone module detection using large-scale text features based on spam filtering,1,0,1,1,0,0.3424,0.4908,0.087,0.5136,0.0406,0,0,0.0219,0.0023,0,,3.4986,0
1,29,Classification model for code clones based on machine learning,1,0,1,1,0,0.3424,0.4908,0.087,0.5136,0.0361,0,0,0.025,0.0024,0,,3.4973,0
,61,Some code smells have a significant but small effect on faults,1,0.0001,1,1,0,0.252,0.3062,0.0752,0.3863,0.14,0,0,0.0575,0.0074,0,,3.4628,0.2381
,136,Using (bio)metrics to predict code quality online,1,0,0,0,0,0.1563,0.3535,0.0612,0.5846,0.0339,0.1489,0,0.0512,0,0.2258,,3.3896,1
,152,Predicting query quality for applications of text retrieval to software engineering tasks,1,0.0004,1,1,0,0.252,0.3062,0.0752,0.3863,0.0271,0,0,0.0162,0.0008,0,,3.3499,0.2857
,56,Maintainability defects detection and correction: A multi-objective approach,1,0,1,1,0,0.1995,0.2152,0.0501,0.3328,0.1558,0,0,0.0487,0.0035,0,,3.2913,0.2857
,122,Detecting API documentation errors,1,0,1,1,0,0.1809,0.1899,0.0611,0.4139,0,0,0,0,0,0,,3.2744,0.4286
,120,Enhancing change prediction models using developer-related factors,1,0,1,1,0,0.2846,0.3718,0.0772,0.4316,0.0406,0,0,0.0169,0.0235,0,,3.2462,0
,37,What science offers the humanities: Integrating body and culture,1,0,1,1,0,0,0,0,0,0.3905,0,0.381,0.1805,0.2282,0,,3.1802,0
,86,Code-smell detection as a bilevel problem,1,0,1,1,0,0.252,0.3062,0.0752,0.3863,0.079,0,0,0.0425,0.001,0,,3.1422,0
,93,Detecting software design defects using relational association rule mining,1,0,1,1,0,0.26,0.3167,0.0988,0.3541,0.0677,0,0,0.025,0.0081,0,,3.1304,0
,132,Reflections on self-deception,1,0,1,1,0,0.0492,0.0796,0.1011,0.6623,0.0361,0,0,0.025,0.0019,0,,2.9552,0
,144,On the use of design defect examples to detect model refactoring opportunities,1,0,1,1,0,0.131,0.1785,0.0455,0.2876,0.0293,0,0,0.0125,0.0015,0,,2.8764,0.1905
,125,Multi-objective code-smells detection using good and bad design examples,1,0,1,1,0,0.131,0.1785,0.0455,0.2876,0.0384,0,0.0476,0.0462,0.0035,0,,2.7783,0
,81,Software mutational robustness,1,0,1,1,0,0.1057,0.175,0.0424,0.1702,0.0858,0.0638,0.0476,0.0375,0.0019,0.0968,,2.7299,0
,145,A combined ant colony optimization and simulated annealing algorithm to assess stability and fault-proneness of classes based on internal software quality attributes,1,0,1,1,0,0.1762,0.2336,0.0769,0.2353,0,0,0,0,0,0,,2.722,0
,62,Self-organization in the olfactory system: One shot odor recognition in insects,1,0,1,1,0,0.0824,0.1295,0.0556,0.154,0.1377,0,0,0.06,0.0328,0,,2.652,0
,18,Mobile phone-enabled control of medical care and handicapped assistance,1,0.0002,1,1,0,0.1496,0.1802,0.0657,0.1449,0,0,0,0.0575,0.0079,0,,2.606,0
,7,The prediction of code clone quality based on bayesian network,1,0.0005,1,1,0,0,0.0402,0.0205,0.1161,0,0,0,0.0025,0.0003,0,,2.5611,0.381
,70,Real-Time Systems Design and Analysis: Tools for the Practitioner,0,0,1,1,0,0,0,0,0,0.1084,0,1,0.1936,0.2222,0,,2.5242,0
,115,Progress on approaches to software defect prediction,1,0.0003,1,1,0,0.143,0.1225,0.024,0.1479,0.0429,0,0,0.0269,0.006,0,,2.5135,0
,59,Imaging brain function with EEG: Advanced temporal and spatial analysis of electroencephalographic signals,1,0,1,1,0,0,0,0,0,0.149,0.0638,0.0952,0.0868,0.0661,0,,2.4609,0
1,91,Adaptive detection of design flaws,1,0,1,1,0,0.0525,0.0691,0.0401,0.1409,0.0722,0,0,0.0425,0.0011,0,,2.4184,0
,135,Finding and analyzing compiler warning defects,1,0,0,0,0,0.1563,0.3535,0.0612,0.5846,0.0339,0,0,0.0319,0,0,,2.3643,0.1429
,41,Learning NATURAL coding conventions,1,0,0,0,0,0,0,0.1255,0.669,0.2731,0.1064,0,0.1068,0,0.1613,,2.2808,0
,87,Code anomalies flock together,1,0.0002,0,0,0,0.1563,0.3535,0.0612,0.5846,0.0767,0,0,0.0412,0,0,,2.2737,0
,21,"3rd International Symposium on Leveraging Applications of Formal Methods, Verification and Validation, ISoLA 2008",1,0,1,1,0,0.0326,0.0402,0.0236,0.0733,0,0,0,0,0,0,,2.2649,0.0952
,2,Assessing the bug-prediction with re-usability based package organization for object oriented software systems,1,0.0002,1,1,0,0.0512,0.063,0.0282,0.0902,0,0,0,0.0037,0,0,,2.2365,0
,9,Measuring the utility of functional-based software using centroid-adjusted class labelling,1,0,1,1,0,0.0472,0.0691,0.0257,0.0851,0,0,0,0,0,0,,2.2271,0
,1,Emotion Explained,0,0,1,1,0,0,0,0,0,1,0,0,0.2055,0,0,,2.2055,0
,8,A novel framework for integrating data mining techniques to software development phases,1,0,1,1,0,0.0359,0.0472,0.0244,0.0826,0,0,0,0.005,0,0,,2.1951,0
,39,Software evolution,0,0,1,1,0,0,0,0,0,0,0,0.0952,0.9813,0.0944,0,,2.1709,0
,52,Neuromarketing: Exploring the brain of the consumer,0,0,1,1,0,0,0,0,0,0.167,0,0.381,0.2773,0.3438,0,,2.1691,0
,80,A review of code smell mining techniques,1,0,1,1,0,0,0,0,0,0.0858,0,0,0.0337,0.0111,0,,2.1306,0
,36,Foundations of Voice Studies: An Interdisciplinary Approach to Voice Production and Perception,0,0,1,1,0,0,0,0,0,0.3928,0,0.3333,0.1006,0.2727,0,,2.0994,0
,99,Fungal and bacterial volatile organic compounds: An overview and their role as ecological signaling agents,1,0.0005,1,1,0,0,0,0,0,0.0609,0,0,0.0375,0,0,,2.0989,0
,15,Feature-oriented software product lines: Concepts and implementation,1,0,1,1,0,0,0,0,0,0,0,0,0.0319,0,0,,2.0319,0
,141,Heuristic Search,0,0,1,1,0,0,0,0,0,0.0316,0,0.2381,0.2349,0.5186,0,,2.0232,0
,148,Code Bad Smell Detection through Evolutionary Data Mining,1,0,0,0,0,0,0,0,0,0.0293,0,0,0.0244,0,0,,2.0061,0.9524
,142,"Object oriented design expertise reuse: An approach based on heuristics, design patterns and anti-patterns",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,2,0
,109,Discovering bug patterns in Javascript,1,0,0,0,0,0,0,0.1255,0.669,0.0474,0,0,0.0462,0,0,,1.8881,0
,44,Discovering and representing systematic code changes,0,0.0006,0,0,0,0.1563,0.3535,0.0612,0.5846,0.2573,0,0,0.0762,0,0,,1.823,0.3333
,45,Stepping into virtual reality,0,0,1,1,0,0,0,0,0,0.2573,0.0213,0.1429,0.1424,0.2173,0,,1.7812,0
,117,Combining Software Metrics and Text Features for Vulnerable File Prediction,1,0.0005,0,0,0,0,0.0621,0.0288,0.337,0.0429,0,0,0.0194,0.0013,0,,1.5872,0.0952
,40,Revisiting the impact of classification techniques on the performance of defect prediction models,0,0,0,0,0,0.1563,0.3535,0.0612,0.5846,0.3183,0,0,0.0987,0,0,,1.5726,0
,103,"Managing agile: Strategy, implementation, organisation and people",0,0,1,1,0,0,0,0,0,0.0542,0.0213,0.1429,0.138,0.1933,0.0323,,1.5497,0
,10,Visualizing Time-based Weighted Coupling Using Particle Swarm Optimization to Aid Program Comprehension,1,0,0,0,0,0.1097,0.1295,0.0394,0.1681,0,0,0,0.0069,0.0005,0,,1.4541,0
,4,Primate behavioral ecology: Fifth edition,0,0,1,1,0,0,0,0,0,0,0,0.2857,0.1099,0.0346,0,,1.4302,0
,43,"User requirements notation: The first ten years, the next ten years",0,0,1,1,0,0,0,0.0209,0.0933,0.2596,0,0,0.0406,0.0105,0,,1.4249,0
,98,Evolving software systems,0,0,1,1,0,0,0,0,0,0.0609,0,0.1429,0.0743,0.1411,0,,1.4192,0
,38,"Memory, Attention, and Decision-Making: A Unifying Computational Neuroscience Approach",0,0,1,1,0,0,0,0,0,0.3679,0,0,0.0387,0,0,,1.4066,0
,137,Brain asymmetry and neural systems: Foundations in clinical neuroscience and neuropsychology,0,0,1,1,0,0,0,0,0,0.0339,0,0.1429,0.0856,0.1358,0,,1.3982,0
,104,Measuring architecture quality by structure plus history analysis,0,0,0,0,0,0.1563,0.3535,0.0612,0.5846,0.0542,0,0,0.0556,0,0,,1.3606,0.0952
,118,Quality: Its definition and measurement as applied to the Medically ill,0,0,1,1,0,0,0,0,0,0.0429,0,0,0.0275,0.241,0,,1.3114,0
,6,Social Science Methods for Psychodynamic Inquiry: The Unconscious on the World Scene,0,0,1,1,0,0,0,0,0,0,0,0.0476,0.0169,0.1786,0,,1.2431,0
,24,Genetic algorithm based restructuring of object-oriented designs using metrics,0,0.0002,1,1,0,0.0512,0.063,0.0282,0.0902,0,0,0,0,0,0,,1.2328,0
,64,Why Red Doesn't Sound Like A Bell: Understanding the feel of consciousness,0,0,1,1,0,0,0,0,0,0.1354,0.0213,0,0.0294,0,0,,1.1861,0
,19,Searching for Molecular Solutions: Empirical Discovery and Its Future,0,0,1,1,0,0,0,0,0,0,0,0,0.0269,0.1062,0,,1.1331,0
,13,Analysing the style of textual labels in i* models,1,0,0,0,0,0.0213,0.028,0.0233,0.0573,0,0,0,0,0,0,,1.1299,0
,95,Studying evolving software ecosystems based on ecological models,0,0,1,1,0,0,0,0,0,0.0632,0.0213,0,0.0225,0,0.0323,,1.107,0
1,25,Detecting code smells using machine learning techniques: Are we there yet?,1,0,0,0,0,0,0,0,0,0.07,0,0,0.0369,0,0,,1.1069,0
,113,Code ownership and software quality: A replication study,1,0,0,0,0,0,0,0,0,0.0451,0,0,0.0344,0,0,,1.0795,0
,11,Programming biology: Expanding the toolset for the engineering of transcription,0,0,1,1,0,0,0,0,0,0,0,0,0.0119,0,0,,1.0119,0
,23,"Morphology, processing, and integrating of information from large source code warehouses for decision support",0,0,1,1,0,0,0,0,0,0,0,0,0.0012,0,0,,1.0012,0
,3,Prediction of change-prone classes using machine learning and statistical techniques,0,0,1,1,0,0,0,0,0,0,0,0,0.0006,0,0,,1.0006,0
,90,Metaphor wars: Conceptual metaphors in human life,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,0
,149,The ancient origins of consciousness: How the brain created experience,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,0
,76,Mining software evolution to predict refactoring,0,0,0,0,0,0,0,0,0,0.0926,0,0,0.035,0,0,,0.6514,0.5238
,77,A review-based comparative study of bad smell detection tools,0,0,0,0,0,0.0392,0.049,0.0237,0.1131,0.0903,0,0,0.0581,0,0,,0.6115,0.2381
,49,Revisiting common bug prediction findings using effort-aware models,0,0,0,0,0,0,0,0.0445,0.2737,0.2122,0,0,0.065,0,0,,0.5954,0
,146,Automatic clustering of code changes,0,0,0,0,0,0,0,0,0,0.0293,0,0,0.0331,0,0,,0.5862,0.5238
1,46,A bayesian approach for the detection of code and design smells,0,0,0,0,0,0,0,0,0,0.2415,0,0,0.055,0,0,,0.5346,0.2381
1,26,Code smell detection: Towards a machine learning-based approach,0,0,0,0,0,0,0,0.0445,0.2737,0.1219,0,0,0.0656,0,0,,0.5057,0
,68,How do code refactorings affect energy usage?,0,0,0,0,0,0,0,0,0,0.1219,0,0,0.0294,0,0,,0.4846,0.3333
,126,Studying the effectiveness of Application Performance Management (APM) tools for detecting performance regressions for web applications: An experience report,0,0,0,0,0,0,0,0,0,0.0384,0,0,0.0337,0,0,,0.4531,0.381
,34,CP-Miner: A Tool for Finding Copy-paste and Related Bugs in Operating System Code,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.4288,0.4286
1,31,Tracking design smells: Lessons from a study of God classes,0,0,0,0,0,0,0,0,0,0.07,0,0,0.025,0,0,,0.4283,0.3333
,71,Network versus code metrics to predict defects: A replication study,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.381,0.381
1,28,Reducing subjectivity in code smells detection: Experimenting with the Long Method,0,0,0,0,0,0,0,0,0,0.0293,0,0,0.0319,0,0,,0.3469,0.2857
,124,Teaching software engineering principles to K-12 students: A MOOC on scratch,0,0,0,0,0,0,0,0,0,0.0384,0,0,0.0462,0,0,,0.3227,0.2381
,17,"Proceedings of the International Workshop on Machine Learning Technologies in Software Engineering, MALETS'11 - Associated with 26th IEEE/ACM International Conference on Automated Software Engineering",0,0,0,0,0,0.0392,0.049,0.0237,0.1131,0,0,0,0,0,0,,0.3202,0.0952
,79,Statistical learning approach for mining API usage mappings for code migration,0,0,0,0,0,0,0,0,0,0.0903,0,0,0.0262,0,0,,0.307,0.1905
1,27,SMURF: A SVM-based incremental anti-pattern detection approach,0,0.0001,0,0,0,0,0,0,0,0.0926,0,0,0.0331,0,0,,0.2687,0.1429
,82,Support vector machines for anti-pattern detection,0,0.0001,0,0,0,0,0,0,0,0.0835,0,0,0.0325,0,0,,0.259,0.1429
,151,An empirical study on the removal of Self-Admitted Technical Debt,0,0,0,0,0,0,0,0,0,0.0271,0,0,0.0269,0,0,,0.2445,0.1905
,16,Unifying and refactoring DMF to support concurrent Jini and JMS DMS in GIPSY,0,0,0,0,0,0.0392,0.049,0.0237,0.1131,0,0,0,0.0112,0,0,,0.2362,0
,63,An empirical study of just-in-time defect prediction using cross-project models,0,0,0,0,0,0,0,0,0,0.1354,0,0,0.0643,0,0,,0.1997,0
1,30,IDS: An immune-inspired approach for the detection of software design smells,0,0,0,0,0,0,0,0,0,0.0339,0,0,0.02,0,0,,0.1968,0.1429
,12,Prediction of changeability for object oriented classes and packages by mining change history,0,0,0,0,0,0.0525,0.0612,0.0236,0.0586,0,0,0,0,0,0,,0.1959,0
,100,Introductory programming: A systematic literature review,0,0.0338,0,0,0,0,0,0,0,0.0587,0,0,0.0712,0.0001,0,,0.1638,0
,83,A bayesian network based approach for change coupling prediction,0,0.0001,0,0,0,0,0,0,0,0.0835,0,0,0.0212,0,0,,0.1048,0
,22,Intelligent Java analyzer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0952,0.0952
,101,Search-based inference of polynomial metamorphic relations,0,0.0004,0,0,0,0,0,0,0,0.0587,0,0,0.0156,0,0,,0.0747,0
,106,Mining co-change information to understand when build changes are necessary,0,0,0,0,0,0,0,0,0,0.0519,0,0,0.0219,0,0,,0.0738,0
,108,Can Lexicon Bad Smells improve fault prediction?,0,0,0,0,0,0,0,0,0,0.0519,0,0,0.02,0,0,,0.0719,0
,111,Smells like teen spirit: Improving bug prediction performance using the intensity of code smells,0,0,0,0,0,0,0,0,0,0.0451,0,0,0.0244,0,0,,0.0695,0
1,114,Bad-smell prediction from software design model using machine learning techniques,0,0,0,0,0,0,0,0,0,0.0451,0,0,0.0244,0,0,,0.0695,0
,121,Mutation-aware fault prediction,0,0.0001,0,0,0,0,0,0,0,0.0406,0,0,0.0212,0,0,,0.0619,0
,153,Predicting delays in software projects using networked classification,0,0,0,0,0,0,0,0,0,0.0271,0,0,0.0281,0.0004,0,,0.0556,0
1,147,Experience report: Evaluating the effectiveness of decision trees for detecting code smells,0,0.0001,0,0,0,0,0,0,0,0.0293,0,0,0.0256,0,0,,0.055,0
,138,Family-based performance measurement,0,0,0,0,0,0,0,0,0,0.0339,0,0,0.0144,0.0003,0,,0.0486,0
,134,Developer-Related Factors in Change Prediction: An Empirical Assessment,0,0,0,0,0,0,0,0,0,0.0339,0,0,0.0119,0,0,,0.0458,0
,131,Using Visual Symptoms for Debugging Presentation Failures in Web Applications,0,0.0001,0,0,0,0,0,0,0,0.0361,0,0,0.005,0,0,,0.0412,0
,14,Design pattern recognition by using adaptive neuro fuzzy inference system,0,0.0116,0,0,0,0,0,0,0,0,0,0,0.0075,0,0,,0.0191,0
,5,Feature subset selection for instance filtering methods on cross-project defect prediction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,20,A unified granular fuzzy-neuro framework for predicting and understanding software quality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,140,Confounds and consequences in geotagged twitter data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
